flow1,flow2,flow3,flow4,flow5,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6
18.0,4.0,2.0,0.0,9.0,0.257,0.01,0.05,0.007,0.017,0.026
18.0,5.0,5.0,0.0,12.0,0.287,0.039,0.05,0.042,0.041,0.053
17.0,4.0,3.0,0.0,12.0,0.289,0.038,0.047,0.041,0.04,0.05
17.0,4.0,3.0,0.0,13.0,0.29,0.04,0.048,0.046,0.044,0.053
18.0,5.0,3.0,0.0,13.0,0.288,0.039,0.046,0.046,0.041,0.053
17.0,4.0,3.0,0.0,12.0,0.287,0.038,0.047,0.043,0.042,0.052
18.0,4.0,3.0,0.0,14.0,0.289,0.04,0.047,0.044,0.043,0.051
17.0,4.0,4.0,0.0,11.0,0.393,0.214,0.041,0.216,0.219,0.222
12.0,4.0,7.0,0.0,4.0,0.394,0.211,0.04,0.211,0.216,0.218
13.0,4.0,8.0,0.0,2.0,0.392,0.209,0.038,0.211,0.215,0.218
8.0,7.0,0.0,0.0,7.0,0.443,-0.036,0.007,-0.032,-0.022,-0.034
9.0,8.0,0.0,0.0,8.0,0.44,-0.036,0.006,-0.031,-0.023,-0.032
9.0,8.0,0.0,0.0,8.0,0.432,-0.035,0.008,-0.032,-0.025,-0.033
10.0,7.0,0.0,0.0,8.0,0.43,-0.034,0.009,-0.03,-0.023,-0.033
9.0,8.0,0.0,0.0,8.0,0.43,-0.035,0.008,-0.03,-0.024,-0.033
9.0,8.0,0.0,0.0,8.0,0.432,-0.035,0.009,-0.03,-0.024,-0.034
9.0,7.0,0.0,0.0,8.0,0.442,-0.036,0.009,-0.031,-0.025,-0.033
9.0,8.0,0.0,0.0,8.0,0.435,-0.034,0.008,-0.031,-0.024,-0.034
9.0,8.0,0.0,0.0,8.0,0.441,-0.034,0.008,-0.031,-0.025,-0.035
10.0,7.0,0.0,0.0,8.0,0.429,-0.035,0.009,-0.029,-0.023,-0.031
9.0,8.0,0.0,0.0,8.0,0.446,-0.035,0.009,-0.03,-0.023,-0.034
9.0,8.0,0.0,0.0,8.0,0.426,-0.037,0.009,-0.03,-0.022,-0.035
9.0,7.0,0.0,0.0,8.0,0.451,-0.035,0.008,-0.03,-0.023,-0.031
9.0,8.0,0.0,0.0,8.0,0.445,-0.034,0.009,-0.031,-0.021,-0.031
9.0,8.0,0.0,0.0,8.0,0.439,-0.034,0.01,-0.03,-0.024,-0.031
9.0,8.0,0.0,0.0,8.0,0.443,-0.033,0.009,-0.03,-0.023,-0.033
9.0,7.0,0.0,0.0,7.0,0.442,-0.035,0.009,-0.029,-0.024,-0.032
10.0,8.0,0.0,0.0,8.0,0.43,-0.033,0.01,-0.03,-0.023,-0.03
8.0,7.0,0.0,0.0,8.0,0.446,-0.035,0.008,-0.03,-0.023,-0.031
10.0,8.0,0.0,0.0,8.0,0.446,-0.034,0.009,-0.03,-0.023,-0.031
9.0,8.0,0.0,0.0,8.0,0.451,-0.034,0.01,-0.03,-0.022,-0.03
9.0,8.0,0.0,0.0,7.0,0.436,-0.032,0.01,-0.029,-0.022,-0.031
9.0,7.0,0.0,0.0,8.0,0.455,-0.034,0.011,-0.027,-0.023,-0.032
9.0,8.0,0.0,0.0,8.0,0.446,-0.034,0.01,-0.028,-0.022,-0.031
9.0,7.0,0.0,0.0,8.0,0.449,-0.033,0.011,-0.03,-0.023,-0.032
9.0,8.0,0.0,0.0,8.0,0.447,-0.033,0.012,-0.029,-0.023,-0.032
9.0,7.0,0.0,0.0,8.0,0.46,-0.032,0.01,-0.031,-0.022,-0.032
9.0,8.0,0.0,0.0,8.0,0.451,-0.034,0.011,-0.03,-0.023,-0.032
9.0,7.0,0.0,0.0,7.0,0.439,-0.034,0.011,-0.029,-0.024,-0.032
9.0,8.0,0.0,0.0,8.0,0.436,-0.032,0.011,-0.028,-0.022,-0.03
9.0,7.0,0.0,0.0,8.0,0.452,-0.034,0.011,-0.028,-0.022,-0.03
9.0,8.0,0.0,0.0,8.0,0.44,-0.035,0.01,-0.03,-0.021,-0.03
9.0,7.0,0.0,0.0,7.0,0.438,-0.034,0.01,-0.029,-0.021,-0.03
9.0,8.0,0.0,0.0,8.0,0.435,-0.034,0.011,-0.029,-0.023,-0.033
9.0,7.0,0.0,0.0,8.0,0.45,-0.034,0.011,-0.029,-0.022,-0.03
9.0,8.0,0.0,0.0,8.0,0.433,-0.035,0.011,-0.028,-0.021,-0.03
9.0,8.0,0.0,0.0,8.0,0.44,-0.032,0.012,-0.028,-0.02,-0.031
9.0,7.0,0.0,0.0,7.0,0.461,-0.034,0.01,-0.029,-0.02,-0.03
