flow1,flow2,flow3,flow4,flow5,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6
8.0,8.0,7.0,3.0,0.0,0.455,0.242,0.023,0.241,0.249,0.243
9.0,7.0,8.0,1.0,0.0,0.457,0.242,0.022,0.243,0.252,0.242
8.0,7.0,7.0,2.0,0.0,0.453,0.243,0.022,0.243,0.254,0.244
9.0,7.0,7.0,1.0,0.0,0.461,0.247,0.022,0.246,0.257,0.246
8.0,6.0,7.0,2.0,0.0,0.457,0.244,0.021,0.246,0.258,0.245
8.0,7.0,7.0,1.0,0.0,0.458,0.245,0.022,0.247,0.259,0.248
8.0,7.0,7.0,1.0,0.0,0.458,0.247,0.022,0.249,0.261,0.248
9.0,7.0,8.0,2.0,0.0,0.46,0.247,0.021,0.245,0.257,0.245
8.0,6.0,7.0,1.0,0.0,0.468,0.249,0.021,0.25,0.262,0.248
8.0,7.0,6.0,1.0,0.0,0.463,0.249,0.022,0.25,0.261,0.248
8.0,7.0,7.0,2.0,0.0,0.467,0.248,0.021,0.249,0.259,0.249
8.0,6.0,7.0,1.0,0.0,0.463,0.249,0.023,0.25,0.263,0.25
8.0,7.0,7.0,1.0,0.0,0.461,0.249,0.022,0.248,0.261,0.247
8.0,6.0,7.0,2.0,0.0,0.458,0.249,0.022,0.25,0.262,0.249
12.0,10.0,10.0,2.0,0.0,0.464,0.25,0.021,0.251,0.262,0.249
8.0,6.0,7.0,1.0,0.0,0.473,0.251,0.021,0.253,0.266,0.254
8.0,7.0,7.0,1.0,0.0,0.47,0.252,0.021,0.253,0.265,0.253
8.0,6.0,7.0,2.0,0.0,0.468,0.253,0.021,0.255,0.264,0.252
8.0,7.0,7.0,1.0,0.0,0.473,0.253,0.022,0.252,0.265,0.252
8.0,6.0,7.0,1.0,0.0,0.463,0.253,0.022,0.252,0.266,0.252
8.0,7.0,7.0,1.0,0.0,0.465,0.252,0.022,0.254,0.265,0.253
8.0,6.0,7.0,2.0,0.0,0.465,0.253,0.022,0.256,0.267,0.253
8.0,6.0,7.0,1.0,0.0,0.465,0.254,0.023,0.255,0.27,0.255
8.0,7.0,7.0,1.0,0.0,0.473,0.253,0.022,0.255,0.267,0.254
7.0,6.0,6.0,2.0,0.0,0.475,0.255,0.022,0.255,0.267,0.253
8.0,7.0,7.0,1.0,0.0,0.469,0.255,0.023,0.255,0.267,0.254
8.0,6.0,7.0,1.0,0.0,0.464,0.253,0.022,0.255,0.267,0.254
8.0,7.0,7.0,1.0,0.0,0.463,0.256,0.022,0.257,0.27,0.255
8.0,6.0,6.0,2.0,0.0,0.473,0.256,0.022,0.259,0.27,0.257
7.0,6.0,7.0,1.0,0.0,0.468,0.255,0.023,0.257,0.268,0.257
8.0,7.0,7.0,1.0,0.0,0.475,0.259,0.023,0.258,0.271,0.259
8.0,6.0,7.0,2.0,0.0,0.467,0.258,0.021,0.259,0.27,0.257
8.0,6.0,6.0,1.0,0.0,0.468,0.257,0.022,0.258,0.271,0.258
8.0,7.0,7.0,1.0,0.0,0.474,0.26,0.023,0.26,0.27,0.257
7.0,6.0,7.0,1.0,0.0,0.458,0.182,0.024,0.181,0.194,0.182
9.0,7.0,8.0,1.0,0.0,0.448,0.17,0.023,0.171,0.183,0.171
9.0,7.0,7.0,1.0,0.0,0.457,0.17,0.023,0.17,0.181,0.169
8.0,7.0,8.0,1.0,0.0,0.457,0.169,0.023,0.167,0.178,0.167
9.0,7.0,8.0,1.0,0.0,0.457,0.167,0.023,0.168,0.179,0.168
9.0,7.0,7.0,1.0,0.0,0.452,0.164,0.023,0.166,0.176,0.167
8.0,7.0,8.0,1.0,0.0,0.454,0.165,0.023,0.165,0.177,0.165
9.0,7.0,7.0,1.0,0.0,0.46,0.164,0.023,0.165,0.175,0.164
9.0,7.0,8.0,2.0,0.0,0.459,0.164,0.024,0.164,0.176,0.164
8.0,7.0,7.0,1.0,0.0,0.458,0.162,0.022,0.162,0.175,0.163
9.0,7.0,8.0,1.0,0.0,0.467,0.163,0.023,0.164,0.175,0.166
8.0,7.0,8.0,1.0,0.0,0.455,0.159,0.023,0.161,0.173,0.162
9.0,7.0,7.0,1.0,0.0,0.441,0.159,0.023,0.16,0.173,0.16
8.0,7.0,8.0,1.0,0.0,0.461,0.16,0.023,0.16,0.173,0.162
9.0,7.0,7.0,1.0,0.0,0.441,0.158,0.023,0.16,0.174,0.162
8.0,7.0,8.0,1.0,0.0,0.465,0.16,0.023,0.162,0.174,0.161
9.0,7.0,7.0,1.0,0.0,0.457,0.158,0.024,0.159,0.169,0.16
8.0,6.0,8.0,1.0,0.0,0.467,0.156,0.024,0.149,0.158,0.149
9.0,8.0,7.0,3.0,0.0,0.458,0.142,0.025,0.144,0.153,0.143
9.0,7.0,8.0,3.0,0.0,0.452,0.139,0.023,0.14,0.149,0.141
8.0,7.0,8.0,3.0,0.0,0.463,0.14,0.024,0.139,0.149,0.141
9.0,7.0,7.0,3.0,0.0,0.453,0.139,0.023,0.14,0.149,0.14
9.0,7.0,8.0,3.0,0.0,0.458,0.139,0.024,0.14,0.147,0.14
9.0,7.0,8.0,3.0,0.0,0.457,0.14,0.023,0.139,0.148,0.14
9.0,7.0,7.0,3.0,0.0,0.464,0.139,0.023,0.138,0.148,0.139
8.0,7.0,8.0,3.0,0.0,0.459,0.138,0.023,0.137,0.148,0.14
9.0,7.0,7.0,2.0,0.0,0.453,0.138,0.024,0.137,0.148,0.14
8.0,7.0,8.0,3.0,0.0,0.451,0.136,0.025,0.137,0.145,0.138
9.0,7.0,7.0,3.0,0.0,0.456,0.136,0.023,0.138,0.145,0.136
9.0,7.0,8.0,3.0,0.0,0.459,0.136,0.023,0.136,0.145,0.138
8.0,7.0,7.0,3.0,0.0,0.455,0.135,0.024,0.137,0.145,0.136
9.0,7.0,8.0,3.0,0.0,0.46,0.136,0.023,0.136,0.145,0.136
8.0,7.0,7.0,3.0,0.0,0.455,0.135,0.024,0.137,0.146,0.139
9.0,7.0,8.0,3.0,0.0,0.453,0.135,0.023,0.135,0.144,0.135
9.0,7.0,7.0,3.0,0.0,0.455,0.135,0.023,0.137,0.145,0.138
8.0,7.0,8.0,3.0,0.0,0.454,0.116,0.024,0.116,0.125,0.116
9.0,7.0,8.0,2.0,0.0,0.449,0.113,0.024,0.113,0.122,0.113
9.0,7.0,7.0,3.0,0.0,0.459,0.113,0.024,0.113,0.122,0.114
8.0,7.0,8.0,2.0,0.0,0.462,0.114,0.024,0.113,0.121,0.114
9.0,7.0,8.0,3.0,0.0,0.449,0.112,0.023,0.113,0.12,0.113
9.0,7.0,7.0,3.0,0.0,0.459,0.112,0.023,0.113,0.121,0.112
8.0,7.0,8.0,2.0,0.0,0.468,0.112,0.024,0.113,0.121,0.111
9.0,7.0,7.0,3.0,0.0,0.452,0.109,0.024,0.112,0.12,0.109
9.0,7.0,8.0,2.0,0.0,0.464,0.112,0.024,0.111,0.12,0.111
8.0,7.0,7.0,3.0,0.0,0.457,0.111,0.024,0.112,0.12,0.11
9.0,7.0,8.0,2.0,0.0,0.452,0.109,0.025,0.112,0.121,0.112
8.0,7.0,7.0,3.0,0.0,0.455,0.111,0.025,0.111,0.121,0.11
9.0,7.0,8.0,2.0,0.0,0.459,0.111,0.025,0.111,0.121,0.109
8.0,8.0,8.0,3.0,0.0,0.455,0.11,0.023,0.111,0.119,0.108
9.0,7.0,7.0,3.0,0.0,0.458,0.11,0.023,0.111,0.12,0.11
9.0,7.0,8.0,2.0,0.0,0.453,0.109,0.024,0.11,0.12,0.111
8.0,7.0,7.0,3.0,0.0,0.453,0.108,0.023,0.11,0.119,0.109
9.0,7.0,8.0,2.0,0.0,0.448,0.107,0.022,0.109,0.117,0.104
9.0,7.0,6.0,2.0,0.0,0.454,0.128,0.022,0.129,0.136,0.13
8.0,7.0,6.0,1.0,0.0,0.466,0.129,0.023,0.131,0.138,0.129
9.0,7.0,6.0,1.0,0.0,0.462,0.129,0.023,0.13,0.136,0.13
8.0,7.0,6.0,2.0,0.0,0.461,0.129,0.024,0.129,0.139,0.13
9.0,6.0,5.0,1.0,0.0,0.458,0.128,0.024,0.13,0.137,0.128
8.0,7.0,6.0,1.0,0.0,0.456,0.129,0.023,0.129,0.138,0.13
9.0,7.0,5.0,1.0,0.0,0.468,0.13,0.023,0.131,0.139,0.13
8.0,7.0,6.0,2.0,0.0,0.463,0.13,0.023,0.131,0.138,0.129
8.0,7.0,6.0,1.0,0.0,0.46,0.129,0.024,0.13,0.138,0.13
8.0,7.0,5.0,1.0,0.0,0.471,0.13,0.023,0.131,0.138,0.131
